SvSystem,UTC,Toe,ObsToc,x,y,z,SvClockOffset,RelativisticError,Health
E3,1691627069.9139478207,1691626800.0000000000,1691627070.0000000000,8480026.0718005691,-18007762.1614813097,21909541.6800159737,-0.0000444174,-0.0000000007,0
E3,1691627099.9139828682,1691626800.0000000000,1691627100.0000000000,8543656.0058085937,-18024782.7865848877,21870836.2852646597,-0.0000444175,-0.0000000007,0
E3,1691627129.9140174389,1691626800.0000000000,1691627130.0000000000,8607133.9504138324,-18041918.4670624025,21831828.3805593327,-0.0000444176,-0.0000000007,0
E3,1691627159.9140520096,1691626800.0000000000,1691627160.0000000000,8670458.8312641401,-18059168.3815371878,21792518.5056236871,-0.0000444177,-0.0000000007,0
E3,1691627189.9140861034,1691626800.0000000000,1691627190.0000000000,8733629.5769874100,-18076531.7023589760,21752907.2055985294,-0.0000444179,-0.0000000007,0
E3,1691627219.9141199589,1691626800.0000000000,1691627220.0000000000,8796645.1227526292,-18094007.5965905003,21712995.0288534537,-0.0000444180,-0.0000000007,0
E3,1691627249.9141535759,1691626800.0000000000,1691627250.0000000000,8859504.4082895927,-18111595.2254898027,21672782.5282263756,-0.0000444181,-0.0000000007,0
E3,1691627279.9141867161,1691626800.0000000000,1691627280.0000000000,8922206.3779296093,-18129293.7445355952,21632270.2610278688,-0.0000444182,-0.0000000007,0
E3,1691627309.9142198563,1691626800.0000000000,1691627310.0000000000,8984749.9826317690,-18147102.3040206134,21591458.7877431698,-0.0000444183,-0.0000000007,0
E3,1691627339.9142525196,1691626800.0000000000,1691627340.0000000000,9047134.1765314825,-18165020.0480953306,21550348.6742840521,-0.0000444184,-0.0000000007,0
E3,1691627369.9142849445,1691626800.0000000000,1691627370.0000000000,9109357.9204570465,-18183046.1157867163,21508940.4897165745,-0.0000444185,-0.0000000007,0
E3,1691627399.9143171310,1691626800.0000000000,1691627400.0000000000,9171420.1799735688,-18201179.6404636949,21467234.8075481728,-0.0000444186,-0.0000000007,0
E3,1691627429.9143490791,1691628000.0000000000,1691627430.0000000000,9233319.9536729045,-18219419.7095194273,21425232.1993909329,-0.0000444188,-0.0000000007,0
E3,1691627459.9143807888,1691628000.0000000000,1691627460.0000000000,9295056.1606190465,-18237765.5264627375,21382933.2592454851,-0.0000444189,-0.0000000007,0
E3,1691627489.9144120216,1691628000.0000000000,1691627490.0000000000,9356627.8111321833,-18256216.1675616205,21340338.5669934303,-0.0000444190,-0.0000000007,0
E3,1691627519.9144430161,1691628000.0000000000,1691627520.0000000000,9418033.8925390393,-18274770.7445725277,21297448.7121996246,-0.0000444191,-0.0000000007,0
E3,1691627549.9134738445,1691628000.0000000000,1691627550.0000000000,9479271.3586949930,-18293427.7401635423,21254265.7331190594,-0.0000444193,-0.0000000007,0
E3,1691627579.9135043621,1691628000.0000000000,1691627580.0000000000,9540343.2896286752,-18312187.4990305305,21210787.3490327671,-0.0000444194,-0.0000000007,0
E3,1691627609.9135346413,1691628000.0000000000,1691627610.0000000000,9601246.6445229314,-18331048.4966349229,21167015.5965182483,-0.0000444195,-0.0000000007,0
E3,1691627639.9135644436,1691628000.0000000000,1691627640.0000000000,9661980.4315238632,-18350009.8231845833,21122951.0820883140,-0.0000444196,-0.0000000007,0
E3,1691627669.9135942459,1691628000.0000000000,1691627670.0000000000,9722543.6657531410,-18369070.5641072541,21078594.4152486175,-0.0000444197,-0.0000000007,0
E3,1691627699.9136235714,1691628000.0000000000,1691627700.0000000000,9782935.3659646418,-18388229.7990261614,21033946.2109462768,-0.0000444198,-0.0000000007,0
E3,1691627729.9136526585,1691628000.0000000000,1691627730.0000000000,9843154.5579485111,-18407486.6028511859,20989007.0870996267,-0.0000444199,-0.0000000007,0
E3,1691627759.9136815071,1691628000.0000000000,1691627760.0000000000,9903200.2726358660,-18426840.0452065989,20943777.6659973562,-0.0000444200,-0.0000000007,0
E3,1691627789.9137098789,1691628000.0000000000,1691627790.0000000000,9963071.5461367462,-18446289.1904603019,20898258.5743014365,-0.0000444202,-0.0000000007,0
E3,1691627819.9137380123,1691628000.0000000000,1691627820.0000000000,10022767.4211993031,-18465833.0982204117,20852450.4419542663,-0.0000444203,-0.0000000007,0
E3,1691627849.9137661457,1691628000.0000000000,1691627850.0000000000,10082286.9462817833,-18485470.8230633736,20806353.9028820433,-0.0000444204,-0.0000000007,0
E3,1691627879.9137938023,1691628000.0000000000,1691627880.0000000000,10141629.1741703711,-18505201.4140959829,20759969.5960952826,-0.0000444205,-0.0000000007,0
E3,1691627909.9138212204,1691628000.0000000000,1691627910.0000000000,10200793.1648476459,-18525023.9159255438,20713298.1634819172,-0.0000444206,-0.0000000007,0
E3,1691627939.9138481617,1691628000.0000000000,1691627940.0000000000,10259777.9831609912,-18544937.3679118901,20666340.2516357861,-0.0000444207,-0.0000000007,0
E3,1691627969.9138751030,1691628000.0000000000,1691627970.0000000000,10318582.7012002096,-18564940.8049907498,20619096.5099874698,-0.0000444208,-0.0000000007,0
E3,1691627999.9139015675,1691628000.0000000000,1691628000.0000000000,10377206.3950492404,-18585033.2565986589,20571567.5934132524,-0.0000444209,-0.0000000007,0
E3,1691628029.9139277935,1691628000.0000000000,1691628030.0000000000,10435648.1480907165,-18605213.7478183955,20523754.1596035361,-0.0000444211,-0.0000000007,0
E3,1691628059.9139537811,1691628000.0000000000,1691628060.0000000000,10493907.0491642430,-18625481.2987786531,20475656.8705532886,-0.0000444212,-0.0000000007,0
E3,1691628089.9139795303,1691628000.0000000000,1691628090.0000000000,10551982.1930639781,-18645834.9248472601,20427276.3921785131,-0.0000444213,-0.0000000007,0
E3,1691628119.9140048027,1691628000.0000000000,1691628120.0000000000,10609872.6801079847,-18666273.6365035437,20378613.3946949169,-0.0000444214,-0.0000000007,0
E3,1691628149.9140300751,1691628000.0000000000,1691628150.0000000000,10667577.6180055421,-18686796.4400240742,20329668.5510594025,-0.0000444215,-0.0000000007,0
E3,1691628179.9140548706,1691628000.0000000000,1691628180.0000000000,10725096.1186693199,-18707402.3363790177,20280442.5396735109,-0.0000444216,-0.0000000007,0
E3,1691628209.9140794277,1691628000.0000000000,1691628210.0000000000,10782427.3014569301,-18728090.3224080317,20230936.0416567735,-0.0000444217,-0.0000000007,0
E3,1691628239.9141037464,1691628000.0000000000,1691628240.0000000000,10839570.2913637571,-18748859.3902039081,20181149.7423909493,-0.0000444218,-0.0000000007,0
E3,1691628269.9141278267,1691628000.0000000000,1691628270.0000000000,10896524.2195095047,-18769708.5273114480,20131084.3311226666,-0.0000444220,-0.0000000007,0
E3,1691628299.9141514301,1691628000.0000000000,1691628300.0000000000,10953288.2227160931,-18790636.7165966108,20080740.5013550818,-0.0000444221,-0.0000000007,0
E3,1691628329.9141747952,1691628000.0000000000,1691628330.0000000000,11009861.4448886253,-18811642.9367816076,20030118.9496390745,-0.0000444222,-0.0000000007,0
E3,1691628359.9141981602,1691628000.0000000000,1691628360.0000000000,11066243.0361333955,-18832726.1621514224,19979220.3763527535,-0.0000444223,-0.0000000007,0
E3,1691628389.9142210484,1691628000.0000000000,1691628390.0000000000,11122432.1514468566,-18853885.3620850667,19928045.4869152009,-0.0000444224,-0.0000000007,0
E3,1691628419.9142434597,1691628000.0000000000,1691628420.0000000000,11178427.9529870115,-18875119.5019284524,19876594.9897596352,-0.0000444225,-0.0000000007,0
E3,1691628449.9142658710,1691628000.0000000000,1691628450.0000000000,11234229.6100847572,-18896427.5430370830,19824869.5963017158,-0.0000444226,-0.0000000007,0
E3,1691628479.9142878056,1691628000.0000000000,1691628480.0000000000,11289836.2966074832,-18917808.4417977072,19772870.0233938806,-0.0000444227,-0.0000000007,0
E3,1691628509.9143097401,1691628000.0000000000,1691628510.0000000000,11345247.1945331786,-18939261.1510200351,19720596.9900269322,-0.0000444228,-0.0000000007,0
E3,1691628539.9143311977,1691628000.0000000000,1691628540.0000000000,11400461.4904409088,-18960784.6186146736,19668051.2206260487,-0.0000444230,-0.0000000007,0
E3,1691628569.9143524170,1691628000.0000000000,1691628570.0000000000,11455478.3786229268,-18982377.7888226137,19615233.4421381950,-0.0000444231,-0.0000000007,0
E3,1691628599.9143731594,1691628000.0000000000,1691628600.0000000000,11510297.0589126144,-19004039.6013987809,19562144.3861045353,-0.0000444232,-0.0000000007,0
E3,1691628629.9143939018,1691628000.0000000000,1691628630.0000000000,11564916.7388910763,-19025768.9925095402,19508784.7865462750,-0.0000444233,-0.0000000007,0
E3,1691628659.9144141674,1691628000.0000000000,1691628660.0000000000,11619336.6308675613,-19047564.8935636021,19455155.3829131126,-0.0000444234,-0.0000000007,0
E3,1691628689.9134342670,1691628000.0000000000,1691628690.0000000000,11673554.1511184704,-19069425.5027213953,19401258.7180697508,-0.0000444235,-0.0000000007,0
E3,1691628719.9134540558,1691628000.0000000000,1691628720.0000000000,11727572.1402080804,-19091351.2010617964,19347091.9450715631,-0.0000444236,-0.0000000007,0
E3,1691628749.9134736061,1691628000.0000000000,1691628750.0000000000,11781388.0203369930,-19113340.1807912961,19292657.6056722775,-0.0000444237,-0.0000000007,0
E3,1691628779.9134929180,1691628000.0000000000,1691628780.0000000000,11835001.0307962820,-19135391.3577749915,19237956.4533169940,-0.0000444239,-0.0000000007,0
E3,1691628809.9135119915,1691628000.0000000000,1691628810.0000000000,11888410.4174658917,-19157503.6440016814,19182989.2451357059,-0.0000444240,-0.0000000007,0
E3,1691628839.9135305882,1691628000.0000000000,1691628840.0000000000,11941615.4324159939,-19179675.9474463686,19127756.7423729450,-0.0000444241,-0.0000000007,0
E3,1691628869.9135489464,1691628000.0000000000,1691628870.0000000000,11994615.3352002148,-19201907.1726372316,19072259.7090612948,-0.0000444242,-0.0000000007,0
E3,1691628899.9135670662,1691628000.0000000000,1691628900.0000000000,12047409.3916059546,-19224196.2201673388,19016498.9133224823,-0.0000444243,-0.0000000007,0
E3,1691628929.9135849476,1691629800.0000000000,1691628930.0000000000,12099996.9353327565,-19246542.0089658573,18960475.0767806545,-0.0000444242,-0.0000000007,0
E3,1691628959.9136025906,1691629800.0000000000,1691628960.0000000000,12152377.1197372004,-19268943.3895759359,18904189.0766234957,-0.0000444243,-0.0000000007,0
E3,1691628989.9136197567,1691629800.0000000000,1691628990.0000000000,12204549.2949548922,-19291399.2719011828,18847641.6406806894,-0.0000444244,-0.0000000007,0
E3,1691629019.9136369228,1691629800.0000000000,1691629020.0000000000,12256512.7544658072,-19313908.5422471389,18790833.5506805405,-0.0000444245,-0.0000000007,0
E3,1691629049.9136536121,1691629800.0000000000,1691629050.0000000000,12308266.7968666144,-19336470.0826417543,18733765.5937528014,-0.0000444246,-0.0000000007,0
E3,1691629079.9136700630,1691629800.0000000000,1691629080.0000000000,12359810.7287868820,-19359082.7721266225,18676438.5592625886,-0.0000444247,-0.0000000007,0
E3,1691629109.9136862755,1691629800.0000000000,1691629110.0000000000,12411143.8632574622,-19381745.4860816449,18618853.2406033352,-0.0000444248,-0.0000000007,0
E3,1691629139.9137022495,1691629800.0000000000,1691629140.0000000000,12462265.5201456845,-19404457.0964435749,18561010.4347353131,-0.0000444249,-0.0000000007,0
E3,1691629169.9137177467,1691629800.0000000000,1691629170.0000000000,12513175.0257723946,-19427216.4715654105,18502910.9426373802,-0.0000444251,-0.0000000007,0
E3,1691629199.9137332439,1691629800.0000000000,1691629200.0000000000,12563871.7145496346,-19450022.4769804031,18444555.5674469359,-0.0000444252,-0.0000000007,0
E3,1691629229.9137482643,1691629800.0000000000,1691629230.0000000000,12614354.9261735193,-19472873.9741752781,18385945.1176860072,-0.0000444253,-0.0000000007,0
E3,1691629259.9137630463,1691629800.0000000000,1691629260.0000000000,12664624.0084688663,-19495769.8218988031,18327080.4040087201,-0.0000444254,-0.0000000007,0
E3,1691629289.9137775898,1691629800.0000000000,1691629290.0000000000,12714678.3157961108,-19518708.8754776753,18267962.2410432026,-0.0000444255,-0.0000000007,0
E3,1691629319.9137918949,1691629800.0000000000,1691629320.0000000000,12764517.2094752099,-19541689.9870382138,18208591.4469175078,-0.0000444256,-0.0000000007,0
E3,1691629349.9138059616,1691629800.0000000000,1691629350.0000000000,12814140.0578048769,-19564712.0055475011,18148968.8432483077,-0.0000444257,-0.0000000007,0
E3,1691629379.9138197899,1691629800.0000000000,1691629380.0000000000,12863546.2360823005,-19587773.7768541463,18089095.2551294900,-0.0000444258,-0.0000000007,0
E3,1691629409.9138331413,1691629800.0000000000,1691629410.0000000000,12912735.1262321211,-19610874.1435457394,18028971.5115996003,-0.0000444260,-0.0000000007,0
E3,1691629439.9138462543,1691629800.0000000000,1691629440.0000000000,12961706.1179990880,-19634011.9455406591,17968598.4441978484,-0.0000444261,-0.0000000007,0
E3,1691629469.9138593674,1691629800.0000000000,1691629470.0000000000,13010458.6081761252,-19657186.0197636858,17907976.8878983632,-0.0000444262,-0.0000000007,0
E3,1691629499.9138720036,1691629800.0000000000,1691629500.0000000000,13058991.9994683247,-19680395.1996335834,17847107.6825528517,-0.0000444263,-0.0000000007,0
E3,1691629529.9138844013,1691629800.0000000000,1691629530.0000000000,13107305.7028357796,-19703638.3162096776,17785991.6699883416,-0.0000444264,-0.0000000007,0
E3,1691629559.9138963223,1691629800.0000000000,1691629560.0000000000,13155399.1355786249,-19726914.1973119713,17724629.6964093111,-0.0000444265,-0.0000000007,0
E3,1691629589.9139082432,1691629800.0000000000,1691629590.0000000000,13203271.7232702766,-19750221.6684870869,17663022.6099525318,-0.0000444266,-0.0000000007,0
E3,1691629619.9139199257,1691629800.0000000000,1691629620.0000000000,13250922.8974814918,-19773559.5519402325,17601171.2636013776,-0.0000444267,-0.0000000007,0
E3,1691629649.9139311314,1691629800.0000000000,1691629650.0000000000,13298352.0969521478,-19796926.6671309881,17539076.5137197115,-0.0000444268,-0.0000000007,0
E3,1691629679.9139420986,1691629800.0000000000,1691629680.0000000000,13345558.7683568392,-19820321.8311875165,17476739.2190472670,-0.0000444270,-0.0000000007,0
E3,1691629709.9139528275,1691629800.0000000000,1691629710.0000000000,13392542.3651863821,-19843743.8583921418,17414160.2421633638,-0.0000444271,-0.0000000007,0
E3,1691629739.9139633179,1691629800.0000000000,1691629740.0000000000,13439302.3481437601,-19867191.5604089685,17351340.4489844292,-0.0000444272,-0.0000000006,0
E3,1691629769.9139735699,1691629800.0000000000,1691629770.0000000000,13485838.1851604357,-19890663.7463261783,17288280.7087519430,-0.0000444273,-0.0000000006,0
E3,1691629799.9139835835,1691629800.0000000000,1691629800.0000000000,13532149.3514122181,-19914159.2226984873,17224981.8940205127,-0.0000444274,-0.0000000006,0
E3,1691629829.9129931927,1691629800.0000000000,1691629830.0000000000,13578233.7966407835,-19937676.0091857463,17161447.0028576516,-0.0000444275,-0.0000000006,0
E3,1691629859.9130027294,1691629800.0000000000,1691629860.0000000000,13624094.0834791176,-19961214.4755344950,17097672.6778811887,-0.0000444276,-0.0000000006,0
E3,1691629889.9130117893,1691629800.0000000000,1691629890.0000000000,13669728.1683571078,-19984772.6370799989,17033661.9163071476,-0.0000444277,-0.0000000006,0
E3,1691629919.9130208492,1691629800.0000000000,1691629920.0000000000,13715135.5563077927,-20008349.2910436690,16969415.6028036661,-0.0000444279,-0.0000000006,0
E3,1691629949.9130294323,1691629800.0000000000,1691629950.0000000000,13760315.7582376134,-20031943.2315776944,16904934.6273297220,-0.0000444280,-0.0000000006,0
E3,1691629979.9130377769,1691629800.0000000000,1691629980.0000000000,13805268.2934711762,-20055553.2511194088,16840219.8815533742,-0.0000444281,-0.0000000006,0
E3,1691630009.9130458832,1691629800.0000000000,1691630010.0000000000,13849992.6883204989,-20079178.1396846883,16775272.2608800214,-0.0000444282,-0.0000000006,0
E3,1691630039.9130537510,1691629800.0000000000,1691630040.0000000000,13894488.4764606170,-20102816.6850985475,16710092.6639302205,-0.0000444283,-0.0000000006,0
E3,1691630069.9130613804,1691629800.0000000000,1691630070.0000000000,13938755.1989429779,-20126467.6730384454,16644681.9925273359,-0.0000444284,-0.0000000006,0
E3,1691630099.9130687714,1691629800.0000000000,1691630100.0000000000,13982792.4042093568,-20150129.8870772570,16579041.1516850572,-0.0000444285,-0.0000000006,0
E3,1691630129.9130756855,1691629800.0000000000,1691630130.0000000000,14026599.6477572676,-20173802.1085388362,16513171.0501192287,-0.0000444286,-0.0000000006,0
E3,1691630159.9130825996,1691629800.0000000000,1691630160.0000000000,14070176.4935441464,-20197483.1172936484,16447072.5981395822,-0.0000444287,-0.0000000006,0
E3,1691630189.9130890369,1691629800.0000000000,1691630190.0000000000,14113522.5115670413,-20221171.6904856227,16380746.7113060094,-0.0000444289,-0.0000000006,0
E3,1691630219.9130954742,1691629800.0000000000,1691630220.0000000000,14156637.2806460299,-20244866.6040808484,16314194.3062135838,-0.0000444290,-0.0000000006,0
E3,1691630249.9131014347,1691629800.0000000000,1691630250.0000000000,14199520.3856800124,-20268566.6314056292,16247416.3046966530,-0.0000444291,-0.0000000006,0
E3,1691630279.9131071568,1691629800.0000000000,1691630280.0000000000,14242171.4200621732,-20292270.5445077829,16180413.6301182825,-0.0000444292,-0.0000000006,0
E3,1691630309.9131126404,1691629800.0000000000,1691630310.0000000000,14284589.9843186997,-20315977.1134477109,16113187.2094713189,-0.0000444293,-0.0000000006,0
E3,1691630339.9131178856,1691629800.0000000000,1691630340.0000000000,14326775.6864642352,-20339685.1065300778,16045737.9728375208,-0.0000444294,-0.0000000006,0
E3,1691630369.9131228924,1691629800.0000000000,1691630370.0000000000,14368728.1420125030,-20363393.2903480753,15978066.8533747047,-0.0000444295,-0.0000000006,0
E3,1691630399.9131276608,1691629800.0000000000,1691630400.0000000000,14410446.9739872701,-20387100.4298273027,15910174.7873039041,-0.0000444296,-0.0000000006,0
E3,1691630429.9131321907,1691629800.0000000000,1691630430.0000000000,14451931.8129332699,-20410805.2882696167,15842062.7138963062,-0.0000444297,-0.0000000006,0
E3,1691630459.9131364822,1691629800.0000000000,1691630460.0000000000,14493182.2969260514,-20434506.6273975596,15773731.5754603371,-0.0000444299,-0.0000000006,0
E3,1691630489.9131405354,1691629800.0000000000,1691630490.0000000000,14534198.0715822354,-20458203.2073983029,15705182.3173286375,-0.0000444300,-0.0000000006,0
E3,1691630519.9131441116,1691629800.0000000000,1691630520.0000000000,14574978.7897461466,-20481893.7867797315,15636415.8883922659,-0.0000444301,-0.0000000006,0
E3,1691630549.9131476879,1691629800.0000000000,1691630550.0000000000,14615524.1127940081,-20505577.1231675558,15567433.2388999574,-0.0000444302,-0.0000000006,0
E3,1691630579.9131510258,1691629800.0000000000,1691630580.0000000000,14655833.7086983435,-20529251.9722203389,15498235.3237239197,-0.0000444303,-0.0000000006,0
E3,1691630609.9131538868,1691629800.0000000000,1691630610.0000000000,14695907.2530179285,-20552917.0882386863,15428823.1007147785,-0.0000444304,-0.0000000006,0
E3,1691630639.9131567478,1691629800.0000000000,1691630640.0000000000,14735744.4298533890,-20576571.2247737721,15359197.5290259011,-0.0000444305,-0.0000000006,0
E3,1691630669.9131591320,1691629800.0000000000,1691630670.0000000000,14775344.9296310861,-20600213.1333555132,15289359.5729656424,-0.0000444306,-0.0000000006,0
E3,1691630699.9131615162,1691629800.0000000000,1691630700.0000000000,14814708.4516444001,-20623841.5650407225,15219310.1975574382,-0.0000444308,-0.0000000006,0
E3,1691630729.9131634235,1691629800.0000000000,1691630730.0000000000,14853834.7015434112,-20647455.2689549848,15149050.3729666229,-0.0000444309,-0.0000000006,0
E3,1691630759.9131653309,1691629800.0000000000,1691630760.0000000000,14892723.3938456774,-20671052.9938392602,15078581.0700334422,-0.0000444310,-0.0000000006,0
E3,1691630789.9131667614,1691629800.0000000000,1691630790.0000000000,14931374.2494559661,-20694633.4865932688,15007903.2647264637,-0.0000444311,-0.0000000006,0
E3,1691630819.9131679535,1691629800.0000000000,1691630820.0000000000,14969786.9978414644,-20718195.4936333857,14937017.9342131987,-0.0000444312,-0.0000000006,0
E3,1691630849.9131691456,1691629800.0000000000,1691630850.0000000000,15007961.3761031721,-20741737.7603740208,14865926.0585190449,-0.0000444313,-0.0000000006,0
