SvSystem,UTC,Code_1,Code_2,Code_5,Phase_1,Phase_2,Phase_5,Snr_1,Snr_2,Snr_5
E3,1691628990.0000000000,25909415.1229999997,0,25909417.3590000011,136154943.4379999936,0,101674144.3480000049,0,0,0
E3,1691629020.0000000000,25904311.6030000001,0,25904313.9450000003,136128125.0640000105,0,101654117.6210000068,0,0,0
E3,1691629050.0000000000,25899290.9389999993,0,25899293.1849999987,136101740.9740000069,0,101634415.2070000023,0,0,0
E3,1691629080.0000000000,25894351.7239999995,0,25894354.2809999995,136075786.7639999986,0,101615033.8020000011,0,0,0
E3,1691629110.0000000000,25889496.0819999985,0,25889498.7030000016,136050269.9670000076,0,101595979.0429999977,0,0,0
E3,1691629140.0000000000,25884722.1250000000,0,25884724.6990000010,136025182.5859999955,0,101577244.9490000010,0,0,0
E3,1691629170.0000000000,25880030.5269999988,0,25880033.0630000010,136000528.3289999962,0,101558834.2890000045,0,0,0
E3,1691629200.0000000000,25875422.0839999989,0,25875424.3999999985,135976309.3459999859,0,101540748.6749999970,0,0,0
E3,1691629230.0000000000,25870895.4580000006,0,25870897.5850000009,135952521.1209999919,0,101522984.7310000062,0,0,0
E3,1691629260.0000000000,25866451.6469999999,0,25866453.7349999994,135929168.3840000033,0,101505546.0000000000,0,0,0
E3,1691629290.0000000000,25862089.4160000011,0,25862091.6059999987,135906244.9889999926,0,101488427.8700000048,0,0,0
E3,1691629320.0000000000,25857809.2030000016,0,25857811.5000000000,135883753.3240000010,0,101471632.1420000046,0,0,0
E3,1691629350.0000000000,25853610.2450000010,0,25853612.5119999982,135861687.2380000055,0,101455154.2199999988,0,0,0
E3,1691629380.0000000000,25849493.0009999983,0,25849495.1499999985,135840050.3549999893,0,101438996.7919999957,0,0,0
E3,1691629410.0000000000,25845457.2899999991,0,25845459.5480000004,135818842.5800000131,0,101423159.7999999970,0,0,0
E3,1691629440.0000000000,25841503.0780000016,0,25841505.7490000017,135798065.1360000074,0,101407644.1630000025,0,0,0
E3,1691629470.0000000000,25837631.3049999997,0,25837633.6400000006,135777717.1710000038,0,101392449.2489999980,0,0,0
E3,1691629500.0000000000,25833840.7850000001,0,25833842.8049999997,135757796.7030000091,0,101377573.5559999943,0,0,0
E3,1691629530.0000000000,25830130.7179999985,0,25830133.0929999985,135738301.2120000124,0,101363015.2249999940,0,0,0
E3,1691629560.0000000000,25826501.7170000002,0,25826503.7800000012,135719229.1990000010,0,101348773.1340000033,0,0,0
E3,1691629590.0000000000,25822953.2049999982,0,25822955.7729999982,135700583.7910000086,0,101334849.6019999981,0,0,0
E3,1691629620.0000000000,25819485.9600000009,0,25819488.5619999990,135682364.1130000055,0,101321243.9919999987,0,0,0
E3,1691629650.0000000000,25816098.5480000004,0,25816100.9840000011,135664562.6809999943,0,101307950.7160000056,0,0,0
E3,1691629680.0000000000,25812792.0960000008,0,25812794.3999999985,135647185.5979999900,0,101294974.3139999956,0,0,0
E3,1691629710.0000000000,25809565.5029999986,0,25809568.1950000003,135630232.2010000050,0,101282314.2919999957,0,0,0
E3,1691629740.0000000000,25806420.3429999985,0,25806423.0020000003,135613703.9790000021,0,101269971.7500000000,0,0,0
E3,1691629770.0000000000,25803355.8170000017,0,25803358.1429999992,135597597.8280000091,0,101257944.4220000058,0,0,0
E3,1691629800.0000000000,25800370.4019999988,0,25800372.9690000005,135581910.1579999924,0,101246229.5939999968,0,0,0
E3,1691629830.0000000000,26097257.7639999986,0,26097259.9510000013,137142061.9120000005,0,102411277.9819999933,0,0,0
E3,1691629860.0000000000,26094431.8150000013,0,26094434.2840000018,137127212.9129999876,0,102400189.4319999963,0,0,0
E3,1691629890.0000000000,26091684.6550000012,0,26091687.2989999987,137112777.1660000086,0,102389409.4699999988,0,0,0
E3,1691629920.0000000000,26089017.1900000013,0,26089019.6169999987,137098759.1459999979,0,102378941.4679999948,0,0,0
E3,1691629950.0000000000,26086427.7769999988,0,26086430.1660000011,137085151.3199999928,0,102368779.7629999965,0,0,0
E3,1691629980.0000000000,26083917.0529999994,0,26083919.5410000011,137071957.6910000145,0,102358927.3770000041,0,0,0
E3,1691630010.0000000000,26081485.3090000004,0,26081487.6099999994,137059177.4140000045,0,102349383.6679999977,0,0,0
E3,1691630040.0000000000,26079130.3559999987,0,26079132.6290000007,137046802.1089999974,0,102340142.3579999954,0,0,0
E3,1691630070.0000000000,26076853.3429999985,0,26076855.9640000015,137034838.4099999964,0,102331208.4150000066,0,0,0
E3,1691630100.0000000000,26074655.3370000012,0,26074657.6079999991,137023286.0810000002,0,102322581.6430000067,0,0,0
E3,1691630130.0000000000,26072535.3709999993,0,26072537.6189999990,137012144.8240000010,0,102314261.8569999933,0,0,0
E3,1691630160.0000000000,26070493.2710000016,0,26070495.9800000004,137001415.3869999945,0,102306249.5740000010,0,0,0
E3,1691630190.0000000000,26068529.6939999983,0,26068532.1620000005,136991095.7790000141,0,102298543.3429999948,0,0,0
E3,1691630220.0000000000,26066644.3979999982,0,26066646.6220000014,136981186.8339999914,0,102291143.7939999998,0,0,0
E3,1691630250.0000000000,26064836.1779999994,0,26064838.6499999985,136971685.0069999993,0,102284048.2450000048,0,0,0
E3,1691630280.0000000000,26063105.5509999990,0,26063108.0810000002,136962591.2509999871,0,102277257.4449999928,0,0,0
E3,1691630310.0000000000,26061451.3559999987,0,26061454.0350000001,136953899.2540000081,0,102270766.6640000045,0,0,0
E3,1691630340.0000000000,26059874.1050000004,0,26059876.9770000018,136945610.7360000014,0,102264577.1669999957,0,0,0
E3,1691630370.0000000000,26058373.3409999982,0,26058375.7809999995,136937722.5460000038,0,102258686.6229999959,0,0,0
E3,1691630400.0000000000,26056948.2549999990,0,26056951.1279999986,136930235.4819999933,0,102253095.5990000069,0,0,0
E3,1691630430.0000000000,26055599.6420000009,0,26055602.6579999998,136923149.1739999950,0,102247803.8219999969,0,0,0
E3,1691630460.0000000000,26054327.3229999989,0,26054330.0780000016,136916461.5259999931,0,102242809.7699999958,0,0,0
E3,1691630490.0000000000,26053129.7140000015,0,26053132.6070000008,136910168.7100000083,0,102238110.5729999989,0,0,0
E3,1691630520.0000000000,26052007.0379999988,0,26052009.9100000001,136904268.1890000105,0,102233704.3299999982,0,0,0
E3,1691630550.0000000000,26050958.9910000004,0,26050962.1750000007,136898761.9880000055,0,102229592.5460000038,0,0,0
E3,1691630580.0000000000,26049986.6700000018,0,26049989.3900000006,136893650.8429999948,0,102225775.7559999973,0,0,0
E3,1691630610.0000000000,26049088.1119999997,0,26049091.0929999985,136888929.8519999981,0,102222250.3180000037,0,0,0
E3,1691630640.0000000000,26048264.7609999999,0,26048267.4490000010,136884601.5819999874,0,102219018.1500000060,0,0,0
E3,1691630670.0000000000,26047514.7490000017,0,26047517.2760000005,136880659.3249999881,0,102216074.2129999995,0,0,0
E3,1691630700.0000000000,26046838.1149999984,0,26046841.0029999986,136877105.1150000095,0,102213420.0460000038,0,0,0
E3,1691630730.0000000000,26046236.1530000009,0,26046238.6310000010,136873939.7809999883,0,102211056.2939999998,0,0,0
E3,1691630760.0000000000,26045706.0370000005,0,26045708.7679999992,136871155.4869999886,0,102208977.0910000056,0,0,0
E3,1691630790.0000000000,26045247.8689999990,0,26045250.5969999991,136868748.5169999897,0,102207179.6729999930,0,0,0
E3,1691630820.0000000000,26044863.5109999999,0,26044866.3869999982,136866728.3070000112,0,102205671.0400000066,0,0,0
E3,1691630850.0000000000,26044552.7349999994,0,26044555.3520000018,136865093.5340000093,0,102204450.2450000048,0,0,0
E3,1691630880.0000000000,26044314.0439999998,0,26044316.4910000004,136863838.9850000143,0,102203513.3959999979,0,0,0
E3,1691630910.0000000000,26044147.3799999990,0,26044150.0320000015,136862964.3459999859,0,102202860.2500000000,0,0,0
E3,1691630940.0000000000,26044052.3859999999,0,26044054.8180000000,136862464.0009999871,0,102202486.6009999961,0,0,0
E3,1691630970.0000000000,26343822.4160000011,0,26343825.0460000001,138437766.4050000012,0,103378848.7830000073,0,0,0
E3,1691631000.0000000000,26343871.2960000001,0,26343873.9530000016,138438023.8860000074,0,103379041.0180000067,0,0,0
E3,1691631030.0000000000,26343990.8339999989,0,26343993.1090000011,138438650.6029999852,0,103379508.9640000015,0,0,0
E3,1691631060.0000000000,26344180.8420000002,0,26344183.3990000002,138439649.2759999931,0,103380254.6969999969,0,0,0
E3,1691631090.0000000000,26344441.2109999992,0,26344443.7589999996,138441017.5410000086,0,103381276.3819999993,0,0,0
E3,1691631120.0000000000,26344772.3020000011,0,26344775.3029999994,138442758.9749999940,0,103382576.7759999931,0,0,0
E3,1691631150.0000000000,26345174.1750000007,0,26345176.6790000014,138444869.3070000112,0,103384152.6379999965,0,0,0
E3,1691631180.0000000000,26345645.2769999988,0,26345647.7800000012,138447345.2809999883,0,103386001.5300000012,0,0,0
E3,1691631210.0000000000,26346186.2690000013,0,26346188.7639999986,138450187.3910000026,0,103388123.8649999946,0,0,0
E3,1691631240.0000000000,26346796.5500000007,0,26346799.2639999986,138453395.4090000093,0,103390519.4210000038,0,0,0
E3,1691631270.0000000000,26347476.7369999997,0,26347479.2239999995,138456968.6800000072,0,103393187.7249999940,0,0,0
E3,1691631300.0000000000,26348225.3500000015,0,26348227.9950000010,138460903.3310000002,0,103396125.8939999938,0,0,0
E3,1691631330.0000000000,26349043.1530000009,0,26349046.0049999990,138465200.9329999983,0,103399335.0939999968,0,0,0
E3,1691631360.0000000000,26349929.6779999994,0,26349932.5359999985,138469859.7089999914,0,103402813.9829999954,0,0,0
E3,1691631390.0000000000,26350884.9149999991,0,26350887.5700000003,138474878.6649999917,0,103406561.8760000020,0,0,0
E3,1691631420.0000000000,26351907.3680000007,0,26351910.4840000011,138480253.9210000038,0,103410575.8480000049,0,0,0
E3,1691631450.0000000000,26352997.8209999986,0,26353000.5780000016,138485981.8499999940,0,103414853.1770000011,0,0,0
E3,1691631480.0000000000,26354153.8399999999,0,26354156.6279999986,138492056.4259999990,0,103419389.3480000049,0,0,0
E3,1691631510.0000000000,26355376.4959999993,0,26355379.4549999982,138498482.0329999924,0,103424187.6550000012,0,0,0
E3,1691631540.0000000000,26356666.8409999982,0,26356669.9299999997,138505262.9329999983,0,103429251.2619999945,0,0,0
E3,1691631570.0000000000,26358023.4180000015,0,26358026.1099999994,138512390.3880000114,0,103434573.6749999970,0,0,0
E3,1691631600.0000000000,26359445.7129999995,0,26359448.7930000015,138519865.5360000134,0,103440155.7049999982,0,0,0
E3,1691631630.0000000000,26360934.8509999998,0,26360938.1299999990,138527692.1570000052,0,103446000.2310000062,0,0,0
E3,1691631660.0000000000,26362488.9990000017,0,26362492.1570000015,138535858.3499999940,0,103452098.3199999928,0,0,0
E3,1691631690.0000000000,26364107.6200000010,0,26364110.7120000012,138544364.2470000088,0,103458450.0789999962,0,0,0
E3,1691631720.0000000000,26365792.1869999990,0,26365795.0810000002,138553215.1719999909,0,103465059.5230000019,0,0,0
E3,1691631750.0000000000,26367541.3359999992,0,26367544.5689999983,138562408.7209999859,0,103471924.8219999969,0,0,0
E3,1691631780.0000000000,26369355.1999999993,0,26369358.3889999986,138571940.0979999900,0,103479042.3830000013,0,0,0
E3,1691631810.0000000000,26371232.9169999994,0,26371236.0210000016,138581807.3019999862,0,103486410.7249999940,0,0,0
E3,1691631840.0000000000,26373175.5720000006,0,26373178.4670000002,138592014.6739999950,0,103494033.0690000057,0,0,0
E3,1691631870.0000000000,26375181.3299999982,0,26375184.2800000012,138602555.2969999909,0,103501904.2709999979,0,0,0
E3,1691631900.0000000000,26377250.0359999985,0,26377252.9120000005,138613425.4120000005,0,103510021.5250000060,0,0,0
E3,1691631930.0000000000,26379382.0159999989,0,26379385.1259999983,138624630.2459999919,0,103518388.7699999958,0,0,0
E3,1691631960.0000000000,26381577.7679999992,0,26381580.5909999982,138636167.7849999964,0,103527004.4650000036,0,0,0
E3,1691631990.0000000000,26383835.8119999990,0,26383838.7699999996,138648035.2060000002,0,103535866.4720000029,0,0,0
E3,1691632020.0000000000,26386156.4090000018,0,26386158.9100000001,138660227.0349999964,0,103544970.7430000007,0,0,0
E3,1691632050.0000000000,26388538.2710000016,0,26388540.9670000002,138672745.1240000129,0,103554318.6379999965,0,0,0
E3,1691632080.0000000000,26390980.8489999995,0,26390983.8009999990,138685582.2199999988,0,103563904.7409999967,0,0,0
E3,1691632110.0000000000,26693277.7600000016,0,26693280.7600000016,140274162.7109999955,0,104750182.3340000063,0,0,0
E3,1691632140.0000000000,26695842.7399999984,0,26695845.6490000002,140287641.5800000131,0,104760247.7020000070,0,0,0
E3,1691632170.0000000000,26698467.1909999996,0,26698470.2129999995,140301433.8889999986,0,104770547.1309999973,0,0,0
E3,1691632200.0000000000,26701151.5370000005,0,26701154.4079999998,140315538.4160000086,0,104781079.7080000043,0,0,0
E3,1691632230.0000000000,26703895.1259999983,0,26703897.9239999987,140329956.3689999878,0,104791846.3509999961,0,0,0
E3,1691632260.0000000000,26706698.4439999983,0,26706701.2699999996,140344687.6130000055,0,104802846.9200000018,0,0,0
E3,1691632290.0000000000,26709561.5639999993,0,26709564.2879999988,140359733.1489999890,0,104814082.1759999990,0,0,0
E3,1691632320.0000000000,26712483.4389999993,0,26712486.0879999995,140375088.3440000117,0,104825548.6770000011,0,0,0
E3,1691632350.0000000000,26715463.7190000005,0,26715466.6889999993,140390749.3300000131,0,104837243.5479999930,0,0,0
E3,1691632380.0000000000,26718501.9519999996,0,26718505.1649999991,140406717.3039999902,0,104849167.6729999930,0,0,0
E3,1691632410.0000000000,26721598.6829999983,0,26721601.5509999990,140422989.4769999981,0,104861318.9309999943,0,0,0
E3,1691632440.0000000000,26724752.9299999997,0,26724755.7580000013,140439563.3860000074,0,104873695.4759999961,0,0,0
E3,1691632470.0000000000,26727963.7470000014,0,26727966.6719999984,140456437.1780000031,0,104886295.9599999934,0,0,0
E3,1691632500.0000000000,26731231.3979999982,0,26731234.5359999985,140473609.8630000055,0,104899119.6759999990,0,0,0
E3,1691632530.0000000000,26734556.1359999999,0,26734559.7569999993,140491081.6969999969,0,104912166.7999999970,0,0,0
E3,1691632560.0000000000,26737936.9910000004,0,26737940.4369999990,140508848.0559999943,0,104925433.8780000061,0,0,0
E3,1691632590.0000000000,26741372.7129999995,0,26741375.8889999986,140526902.6290000081,0,104938916.1560000032,0,0,0
E3,1691632620.0000000000,26744863.5920000002,0,26744867.0249999985,140545246.7649999857,0,104952614.6770000011,0,0,0
